genus,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Buccal decile 10 (cervical),Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Buccal decile 10 (cervical)
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,9.02527076,10.0280786,11.0308865,13.0365022,14.0393101,17.0477337,26.0730044,23.0645808
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,11.6228389,11.6228389,10.169984,18.8871132,14.5285486,17.4342583,20.339968,23.2456778
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,8.60585198,10.5182635,12.4306751,18.1679097,19.1241155,19.1241155,22.9489386,19.1241155
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,7.70119369,7.70119369,11.5517905,14.4397382,14.4397382,23.1035811,26.9541779,26.9541779
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,8.47367864,9.53288847,11.6513081,11.6513081,14.8289376,20.1249868,22.2434064,19.0657769
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,8.15069734,10.8675965,11.7732295,12.6788625,14.4901286,16.3013947,19.0182938,19.0182938
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,7.59013283,9.48766603,13.2827325,15.1802657,17.0777989,18.9753321,24.6679317,18.9753321
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,8.50822462,9.45358291,11.3442995,14.1803744,16.0710909,17.9618075,17.9618075,17.0164492
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,10.6805005,12.2062862,15.2578578,16.7836436,19.8352151,22.8867867,22.8867867,19.8352151
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,9.83146067,11.2359551,12.6404494,15.4494382,19.6629214,19.6629214,18.258427,21.0674157
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,10.2339181,13.1578947,17.5438597,16.0818714,17.5438597,21.9298246,33.625731,24.8538012
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,7.95165394,12.7226463,17.4936387,17.4936387,15.9033079,25.4452926,28.6259542,28.6259542
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,12.0048019,12.0048019,15.0060024,18.0072029,21.0084034,18.0072029,22.5090036,22.5090036
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,13.2841328,16.2361624,19.1881919,20.6642066,20.6642066,22.1402214,33.9483395,23.6162362
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,10.1714618,13.0775937,15.9837257,20.3429236,23.2490555,29.0613194,34.8735833,27.6082534
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,11.2275449,11.2275449,12.4750499,16.2175649,16.2175649,16.2175649,14.9700599,14.9700599
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,11.820331,11.820331,13.2978723,16.2529551,16.2529551,20.6855792,23.6406619,20.6855792
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,12.2515655,12.2515655,12.2515655,14.9741356,14.9741356,19.0579907,17.6967057,21.7805609
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,9.04392765,11.627907,14.2118863,18.0878553,20.6718346,25.8397933,31.0077519,24.5478036
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,9.42507069,12.117948,14.8108254,16.157264,17.5037027,17.5037027,21.5430187,21.5430187
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,10.4698338,11.778563,13.0872922,18.3222091,20.9396676,23.557126,28.7920429,22.2483968
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,9.15990578,13.0855797,15.7026956,20.9369275,22.2454855,31.4053913,36.6396231,31.4053913
